"country","start_day","start_month","start_year","end_day","end_month","end_year","provisional","military","president_name"
"Burkina Faso","11","Dec","1959","4","Jan","1966",FALSE,FALSE,"Nawalagmba Maurice Yameogo"
"Burkina Faso","4","Jan","1966","25","Nov","1980",FALSE,TRUE,"Aboubakar Sangoule Lamizana"
"Burkina Faso","25","Nov","1980","7","Nov","1982",FALSE,TRUE,"Saye Zerbo"
"Burkina Faso","8","Nov","1982","4","Aug","1983",FALSE,TRUE,"Jean-Baptiste Ouedraogo"
"Burkina Faso","4","Aug","1983","15","Oct","1987",FALSE,TRUE,"Thomas Isidore Noel Sankara"
"Burkina Faso","15","Oct","1987","31","Oct","2014",FALSE,TRUE,"Blaise Compaore"
"Burkina Faso","31","Oct","2014","1","Nov","2014",FALSE,TRUE,"Honore Nabere Traore"
"Burkina Faso","1","Nov","2014","18","Nov","2014",FALSE,TRUE,"Isaac Yacouba Zida"
"Burkina Faso","18","Nov","2014","17","Sep","2015",FALSE,FALSE,"Michel Kafando"
"Burkina Faso","17","Sep","2015","23","Sep","2015",FALSE,TRUE,"Gilbert Diendere"
"Burkina Faso","23","Sep","2015","29","Dec","2015",FALSE,FALSE,"Michel Kafando"
"Burkina Faso","29","Dec","2015",NA,NA,NA,FALSE,FALSE,"Roch Marc Christian Kabore"
